ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
0,19/12/2022,196,13,27.88727267748186,45.36285390629726,0,0,7.740586989477199,intermediate,dairy,28.946465336432905  kg
1,21/11/2023,244,15,10.317872249672337,64.43047525,1,0,42.311778812786294,nan,MeAt,51.54905281454645  kg
4,01/02/2022,148,16,27.714300115065733,69.04611285352485,1,0,41.18430513351168,Beginner,MeAt,53.008322732556536  kg
5,19/03/2023,157,19,19.173901980120014,46.292822844674546,6,0,41.54349249539056,Beginner,MeAt,48.62152711280995  kg
6,18/07/2022,297,10,26.375233470802712,79.74106395272946,0,0,26.525096675175014,Intermediate,MEAT,44.15698435866615  kg
7,02/03/2023,241,18,16.863506350003135,79.2859195,3,0,11.834877755148362,Intermediate,dairy,27.393670187103623  kg
8,18/04/2022,443,16,19.888627096999215,77.32813583432157,0,0,22.862658782043177,Beginner,Vegetables,52.17211773229588  kg
9,16/12/2023,416,16,18.559590900838664,75.78650182,5,1,34.59944224726701,Intermediate,MeAt,72.05240748747588  kg
10,07/07/2023,439,18,24.111027266972062,43.395803130311776,4,0,17.45914862714055,EXPERT,dairy,44.28415666965992  kg
11,07/11/2023,267,7,25.412493172377086,89.40518256404891,1,0,23.067392475419435,EXPERT,GRAINS,33.23393011057515  kg
12,08/06/2022,487,15,20.96518041223846,53.39234117649265,2,0,41.075793193608725,EXPERT,MeAt,61.213325501284864  kg
13,21/04/2023,418,13,19.563157006100205,82.53067359315696,4,0,25.043428449760405,intermediate,Vegetables,44.93716309238571  kg
15,25/01/2022,376,19,-10.37220651,54.49838056556707,1,0,36.25941977645789,EXPERT,MeAt,50.568698570351984  kg
16,10/09/2023,372,5,30.22208654,63.652467801757055,6,0,49.63501381763712,intermediate,GRAINS,60.79622004025845  kg
17,29/04/2023,378,12,12.323228609484747,68.06038438267225,5,0,41.14602070991628,nan,MeAt,51.05801765836502  kg
18,03/06/2024,265,12,15.685237396534474,63.32972544635161,0,0,26.924540311486126,Beginner,MEAT,38.215700494202835  kg
19,13/10/2023,1560,8,23.740401092973112,48.599996230307354,4,0,11.255099233958497,EXPERT,dairy,127.43515972323362  kg
20,02/09/2022,283,8,18.91830132600004,36.075594876909534,4,1,7.659761939404453,Beginner,dairy,31.32297930911143  kg
21,27/04/2024,138,17,31.119735907150535,67.67960295624589,5,0,21.024188832488974,Intermediate,Vegetables,29.53986030174638  kg
22,09/09/2024,253,17,12.768711132973953,42.373044305048396,0,0,6.584682808648558,nan,dairy,18.665798273669395  kg
23,08/04/2024,152,8,32.734754800209906,48.53006544044045,0,0,27.156303658383163,EXPERT,GRAINS,31.264418840589673  kg
24,25/07/2023,1110,11,15.520065744640979,58.40405288969475,1,0,38.87818951469928,Beginner,Vegetables,201.3272265452355  kg
25,01/03/2022,439,18,13.283378160234452,56.99053247835356,1,0,22.96250575299588,Intermediate,dairy,50.47941710867909  kg
26,18/10/2022,353,11,10.437899771551557,70.64323929112301,1,1,17.26927912906181,EXPERT,MEAT,45.97954253624569  kg
27,12/03/2022,489,8,18.018568510953187,73.81476882540875,5,0,36.51943096204268,EXPERT,MeAt,60.20071926103519  kg
28,11/12/2022,464,11,12.722958546168286,58.58900302669756,6,0,23.69813283779297,Intermediate,Vegetables,45.68508645035617  kg
29,04/07/2022,430,18,20.39768415367352,74.99104586618797,0,0,13.973521899134075,EXPERT,GRAINS,40.633073102672135  kg
30,22/05/2022,354,15,24.86941593,56.31230931224613,6,0,28.564853722457485,intermediate,MeAt,43.078879896854815  kg
31,26/01/2023,153,15,12.807608610280479,48.368240452775595,3,0,18.20906566063972,EXPERT,MeAt,27.04674865610133  kg
32,07/05/2023,338,8,12.941225711838966,68.06544871719501,6,0,43.68558132861498,Intermediate,GRAINS,52.31782235802555  kg
33,06/04/2024,358,18,11.246050694573539,62.444074027986254,5,0,43.56339866493075,EXPERT,GRAINS,46.621447339944794  kg
34,12/04/2022,114,8,24.75659847214056,38.25142648902092,1,0,25.34389685651147,nan,MeAt,23.016291573913  kg
35,20/01/2024,100,15,28.906616447286314,30.605436401341485,5,0,15.80987449437735,Beginner,MEAT,20.364564228929552  kg
36,06/07/2023,259,5,19.661521028978676,74.34159346727752,3,0,11.18127856859034,intermediate,GRAINS,35.73457609874185  kg
37,03/11/2022,174,15,17.95278884045299,73.84908172270852,3,0,49.733674459050896,Intermediate,Vegetables,43.202732625648196  kg
38,13/09/2024,470,9,26.29169796766065,84.91543109506938,4,0,29.180322357943155,intermediate,dairy,57.92568114492289  kg
39,18/11/2022,262,13,19.39180629704316,58.00692463387128,4,0,34.51564908942798,intermediate,dairy,44.546821688782664  kg
40,10/03/2024,218,8,22.404159602830486,31.851474258484348,6,0,34.776673046660605,Beginner,dairy,31.827616080564624  kg
41,01/01/2024,272,11,16.947552431221695,32.85847545,0,0,30.91036382484852,nan,MEAT,39.50264031483726  kg
42,09/11/2023,492,9,11.093390646999238,59.680511375476996,3,0,14.92289542114916,Intermediate,GRAINS,45.20600927495253  kg
43,16/10/2023,280,18,20.607422147122204,76.88093043686438,0,1,14.55285387508661,Beginner,GRAINS,53.59927450876711  kg
44,18/03/2022,317,16,24.068757158584567,50.42435060097388,4,0,46.584847216007574,Beginner,dairy,55.91331449992199  kg
45,12/07/2022,382,12,24.70145945225198,36.944256400722324,1,0,5.6555219638075505,Intermediate,Vegetables,27.945488580410522  kg
46,28/03/2022,289,7,29.91994569660069,69.52950420840423,0,0,29.771229969632323,Intermediate,MeAt,40.265658444205016  kg
47,04/04/2023,361,11,19.0736068,63.89906146051521,1,0,29.566558998905002,Intermediate,MeAt,38.66680034019299  kg
48,18/02/2022,266,9,14.396132910443153,72.46129957983712,4,0,39.71804278993194,intermediate,MeAt,39.66096850558484  kg
49,07/07/2024,487,6,24.004556459372797,56.94508470065681,6,0,25.590889951269432,nan,GRAINS,44.274849697036814  kg
50,04/01/2022,206,11,15.74021461719661,74.28414740031103,1,0,22.281918727599518,Beginner,MeAt,32.44114132276269  kg
51,06/11/2022,439,8,28.810694065389313,72.65308300093915,6,1,30.73051921711912,EXPERT,MEAT,63.61488965710212  kg
52,14/01/2024,119,19,30.999099507054563,65.42586539,6,0,41.554678111117774,intermediate,dairy,39.23947342293806  kg
53,23/05/2024,351,17,17.717468584329882,66.06616174,3,0,7.578963950471906,intermediate,dairy,25.96082788900909  kg
54,03/02/2023,441,5,19.019312977764997,70.90491864540968,4,0,41.723556905450806,intermediate,MeAt,62.71189112279262  kg
55,09/09/2023,385,15,33.57077853533154,57.515876610830404,5,0,8.089189977,nan,MEAT,31.256635833099743  kg
56,19/02/2022,373,10,21.713485419214607,88.36657937352516,5,0,34.33553895031073,nan,dairy,53.953180540424945  kg
57,19/07/2022,236,5,34.80333290851681,89.4757936,1,0,5.945949802679772,EXPERT,Vegetables,21.233009332422423  kg
58,22/08/2023,326,6,19.285214191253516,33.637735563988095,1,0,29.073500303424982,Intermediate,GRAINS,40.21228889086149  kg
59,27/08/2024,352,15,34.49456144636305,49.98209231,1,0,14.914359437988539,EXPERT,MEAT,37.260332562313856  kg
60,01/06/2024,407,14,23.627638206517492,62.86708166299917,5,1,13.270309929855552,intermediate,GRAINS,50.640364271268474  kg
62,13/05/2023,188,19,22.74310616879245,54.94785004124701,5,0,35.44900856689314,nan,Vegetables,42.65394571098668  kg
63,27/08/2023,251,11,13.730944448754403,43.815055242630876,6,0,17.575038829350618,Beginner,dairy,29.201816950062387  kg
64,11/01/2022,430,16,12.102455611699616,48.89517531677806,1,0,8.646737470927555,Beginner,MEAT,34.957215203516746  kg
65,07/06/2024,205,10,23.720966418001467,61.182255773669056,4,0,17.58363433219428,Intermediate,MEAT,22.876659936800657  kg
66,02/11/2023,352,12,21.858402747655347,54.165863907735115,3,0,42.34195691227782,Intermediate,Vegetables,52.869761758372256  kg
67,26/07/2024,121,15,16.91104226,69.89967097426643,4,0,16.290064244034713,Intermediate,MeAt,21.77211585097144  kg
68,17/07/2024,259,13,21.292420480792067,53.13681077193888,2,0,49.153170145722896,Intermediate,GRAINS,53.34518577593335  kg
69,12/07/2023,479,13,25.48744378518969,62.902922171739235,2,0,19.020728281200302,intermediate,GRAINS,47.8477570518841  kg
70,29/09/2023,483,11,28.655181437045965,40.56572827983568,4,0,35.33078906977853,EXPERT,dairy,56.61000756531634  kg
73,14/04/2024,177,9,19.970900742593237,43.603642939797794,6,0,28.20544479846829,Intermediate,Vegetables,36.36790404747051  kg
74,06/08/2023,189,9,19.67696900839077,73.53763201646495,6,0,38.72205575258702,Intermediate,MEAT,41.62210376932863  kg
75,30/11/2022,294,9,10.366676426156594,56.473422819319595,2,0,23.558137721053974,Beginner,MEAT,28.10933876263433  kg
77,30/07/2022,195,18,19.321215929723362,79.00339215351268,5,0,38.403209217661825,Intermediate,dairy,47.46565108478094  kg
78,20/01/2022,357,13,10.48122008,81.98319085508052,3,0,26.44075720577298,nan,Vegetables,45.21106349139713  kg
79,03/04/2023,295,11,19.461910587146726,37.795795472142075,0,0,26.854108940042472,EXPERT,MeAt,38.94264923547769  kg
